Price,Certification_Total,Material_CO2_norm,Material_Water_norm,Material_Energy_norm,Material_Chemical_norm,Care_CO2_norm,Care_Water_norm,Care_Energy_norm,Origin_Grid_norm,Origin_Transport_norm,Origin_Manufacturing_norm,Brand_Patagonia,Brand_Penneys,Brand_Zara,Category_Woman,Subcategory_Jumper,Subcategory_Sweater,Subcategory_Tshirt
,0.15,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.65,0.4,0.6,False,False,False,True,True,False,False
,0.0,0.18118466898954705,0.02419474543565385,0.37733773377337726,0.3908170643528561,1.0,1.0,1.0,0.65,0.4,0.6,False,False,False,True,True,False,False
,0.25,0.13327526132404183,0.02501113255158082,0.264026402640264,0.31760665220535067,1.0,1.0,1.0,0.65,0.4,0.6,False,False,True,True,True,False,False
,0.0,1.0,0.257829894611845,1.0,1.0,0.0,0.0,0.0,0.55,0.45,0.75,False,False,True,True,True,False,False
,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.35,0.55,True,False,False,True,False,True,False
,0.4,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.45,0.35,0.55,True,False,False,True,False,True,False
,0.0,0.14965156794425089,0.8747587947157489,0.19499449944994499,0.5774584237165582,1.0,1.0,1.0,0.4,0.2,0.45,False,False,False,True,False,False,True
,0.1,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.55,0.45,0.75,False,False,True,True,True,False,False
,0.0,0.1289198606271777,0.005492058779872347,0.2849284928492849,0.24078091106290672,1.0,1.0,1.0,0.25,0.1,0.3,False,False,True,True,False,False,False
,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75,False,True,False,False,False,True,False
,0.1,0.1431707317073171,0.03552026124387709,0.30990099009900984,0.3713846710050615,0.0,0.0,0.0,0.45,0.35,0.55,False,False,False,False,False,True,False
,0.1,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.4,0.2,0.45,False,False,False,False,False,False,False
,0.1,0.07665505226480837,0.003636633516401959,0.2024202420242024,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75,False,False,True,False,True,False,False
,0.0,0.1289198606271777,0.14650437880362177,0.22992299229922988,0.4577006507592191,1.0,1.0,1.0,0.55,0.45,0.7,False,False,True,False,False,False,True
,0.4,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.4,0.2,0.45,True,False,False,False,False,False,False
,0.4,0.1637630662020906,1.0,0.2024202420242024,0.6384671005061461,1.0,1.0,1.0,0.55,0.45,0.75,True,False,False,True,False,False,False
,0.1,0.2682926829268293,0.01662461036069467,0.724972497249725,0.7288503253796096,1.0,1.0,1.0,0.55,0.45,0.7,False,False,False,False,True,False,False
,0.0,0.059233449477351915,0.07228736826480629,0.1474147414741474,0.18655097613882865,1.0,1.0,1.0,0.25,0.1,0.3,False,False,False,False,False,False,True
,0.15,0.5383275261324042,0.1307332640641235,0.6012101210121011,0.6384671005061461,0.0,0.0,0.0,0.5,0.4,0.65,False,False,False,True,False,True,False
,0.1,0.1289198606271777,0.05373311563010242,0.1749174917491749,0.18655097613882865,0.0,0.0,0.0,0.5,0.4,0.65,False,False,False,False,False,True,False
,0.0,0.1637630662020906,0.00920290930681312,0.504950495049505,0.6384671005061461,1.0,1.0,1.0,0.4,0.2,0.45,False,False,False,True,False,False,False
,0.4,0.07665505226480837,0.003636633516401959,0.2024202420242024,0.2769342010122921,1.0,1.0,1.0,0.5,0.4,0.65,True,False,False,True,True,False,False
,0.4,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.65,0.4,0.6,True,False,False,False,False,False,True
,0.0,0.18217770034843203,0.022120379991093956,0.3797029702970296,0.4156724511930585,1.0,1.0,1.0,0.55,0.45,0.7,False,False,False,True,False,False,True
,0.4,0.08422996515679441,0.5061043491168175,0.137018701870187,0.2555495300072307,0.0,0.0,0.0,0.45,0.35,0.55,True,False,False,False,True,False,False
,0.0,0.4425087108013937,0.29493839988125276,0.7799779977997799,0.7288503253796096,0.0,0.0,0.0,0.55,0.45,0.7,False,True,False,True,False,False,False
,0.0,0.14634146341463417,0.005492058779872347,0.22992299229922988,0.2769342010122921,1.0,1.0,1.0,0.4,0.2,0.45,False,True,False,False,False,False,True
,0.2,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75,True,False,False,False,True,False,False
,0.0,0.8992682926829269,0.22805402998367222,0.9091309130913092,0.9146782357194505,0.0,0.0,0.0,0.45,0.35,0.55,False,False,False,False,True,False,False
,0.4,0.0662020905923345,0.6660234525753302,0.11991199119911991,0.2769342010122921,1.0,1.0,1.0,0.3,0.1,0.35,True,False,False,False,False,True,False
,0.4,0.07665505226480837,0.003636633516401959,0.2024202420242024,0.2769342010122921,1.0,1.0,1.0,0.55,0.45,0.75,True,False,False,True,True,False,False
,0.4,0.5121951219512195,0.3320469051506605,0.834983498349835,0.7830802603036876,0.0,0.0,0.0,0.4,0.2,0.45,True,False,False,True,True,False,False
,0.2,0.1289198606271777,0.005492058779872347,0.2849284928492849,0.24078091106290672,1.0,1.0,1.0,0.65,0.4,0.6,False,False,True,True,False,False,False
